key,role,chance
Jayce,TOP,0.767559055
Jayce,MID,0.137217848
Jayce,ADC,0.052598425
Jayce,JUN,0.023727034
Jayce,SUP,0.018897638
Jhin,ADC,0.999713863
Jhin,MID,0.000166913
Jhin,TOP,7.15E-05
Jhin,SUP,4.77E-05
Jinx,ADC,0.999173781
Jinx,MID,0.000550812
Jinx,TOP,0.000183604
Jinx,JUN,9.18E-05
Kaisa,ADC,0.988261163
Kaisa,MID,0.004207282
Kaisa,TOP,0.003272331
Kaisa,JUN,0.003099191
Kaisa,SUP,0.001160033
Kalista,ADC,0.972529569
Kalista,MID,0.012972148
Kalista,TOP,0.008775277
Kalista,JUN,0.003815338
Kalista,SUP,0.001907669
Karma,SUP,0.734022197
Karma,MID,0.150248756
Karma,TOP,0.066283965
Karma,ADC,0.036356678
Karma,JUN,0.013088404
Karthus,MID,0.741931857
Karthus,TOP,0.124592376
Karthus,ADC,0.090857978
Karthus,JUN,0.022264703
Karthus,SUP,0.020353087
Kassadin,MID,0.993252741
Kassadin,TOP,0.004638741
Kassadin,ADC,0.001335395
Kassadin,JUN,0.000562272
Kassadin,SUP,0.000210852
Katarina,MID,0.986895512
Katarina,TOP,0.005914415
Katarina,ADC,0.005102632
Katarina,SUP,0.001275658
Katarina,JUN,0.000811782
Kayle,TOP,0.595317726
Kayle,MID,0.22993311
Kayle,ADC,0.081939799
Kayle,SUP,0.047240803
Kayle,JUN,0.045568562
Kayn,JUN,0.996162233
Kayn,TOP,0.001657218
Kayn,MID,0.001221108
Kayn,SUP,0.000610554
Kayn,ADC,0.000348888
Kennen,TOP,0.899580049
Kennen,MID,0.053635895
Kennen,ADC,0.026670596
Kennen,SUP,0.013924703
Kennen,JUN,0.006188757
Khazix,JUN,0.999828365
Khazix,ADC,0.000114423
Khazix,MID,5.72E-05
Kindred,JUN,0.989468787
Kindred,TOP,0.003764168
Kindred,ADC,0.003214346
Kindred,SUP,0.001776349
Kindred,MID,0.001776349
Kled,TOP,0.810467745
Kled,MID,0.101025909
Kled,ADC,0.041731873
Kled,JUN,0.030429491
Kled,SUP,0.016344983
KogMaw,ADC,0.995473251
KogMaw,MID,0.002469136
KogMaw,JUN,0.001646091
KogMaw,SUP,0.000411523
Leblanc,MID,0.989772367
Leblanc,TOP,0.003756166
Leblanc,ADC,0.003620401
Leblanc,SUP,0.002579536
Leblanc,JUN,0.00027153
LeeSin,JUN,0.993200598
LeeSin,TOP,0.002988078
LeeSin,MID,0.001494039
LeeSin,SUP,0.001280605
LeeSin,ADC,0.00103668
Leona,SUP,0.994882002
Leona,MID,0.00208511
Leona,TOP,0.001611222
Leona,JUN,0.001137333
Leona,ADC,0.000284333
Lissandra,MID,0.901845523
Lissandra,TOP,0.068079289
Lissandra,ADC,0.017088175
Lissandra,SUP,0.007792208
Lissandra,JUN,0.005194805
Lucian,ADC,0.956561067
Lucian,MID,0.023412849
Lucian,TOP,0.01323152
Lucian,JUN,0.004101982
Lucian,SUP,0.002692583
Lulu,SUP,0.768947015
Lulu,MID,0.133299799
Lulu,TOP,0.052481556
Lulu,ADC,0.031913704
Lulu,JUN,0.013357925
Lux,MID,0.663744198
Lux,SUP,0.197627643
Lux,ADC,0.066838577
Lux,TOP,0.058277463
Lux,JUN,0.01351212
Malphite,TOP,0.975675938
Malphite,MID,0.012307394
Malphite,SUP,0.005523791
Malphite,ADC,0.004070162
Malphite,JUN,0.002422715
Malzahar,MID,0.956481695
Malzahar,TOP,0.018190191
Malzahar,ADC,0.017384297
Malzahar,SUP,0.005986645
Malzahar,JUN,0.001957172
Maokai,TOP,0.941476591
Maokai,JUN,0.020108043
Maokai,SUP,0.017707083
Maokai,MID,0.014105642
Maokai,ADC,0.006602641
MasterYi,JUN,0.898897059
MasterYi,TOP,0.048462567
MasterYi,MID,0.032419786
MasterYi,ADC,0.014204545
MasterYi,SUP,0.006016043
MissFortune,ADC,0.984900521
MissFortune,SUP,0.007756987
MissFortune,TOP,0.003671246
MissFortune,MID,0.002723828
MissFortune,JUN,0.000947418
MonkeyKing,JUN,0.335795377
MonkeyKing,TOP,0.324579401
MonkeyKing,MID,0.193407195
MonkeyKing,ADC,0.112159759
MonkeyKing,SUP,0.034058268
Mordekaiser,ADC,0.589595376
Mordekaiser,TOP,0.214923805
Mordekaiser,MID,0.147136101
Mordekaiser,JUN,0.027325276
Mordekaiser,SUP,0.021019443
Morgana,SUP,0.940416141
Morgana,MID,0.025472888
Morgana,ADC,0.021059269
Morgana,TOP,0.009110971
Morgana,JUN,0.003940731
Nami,SUP,1
Nasus,TOP,1
Nautilus,SUP,0.789740342
Nautilus,TOP,0.130251214
Nautilus,MID,0.043487439
Nautilus,JUN,0.021110407
Nautilus,ADC,0.015410597
Nidalee,JUN,0.986948577
Nidalee,TOP,0.006212477
Nidalee,MID,0.002766902
Nidalee,SUP,0.002192639
Nidalee,ADC,0.001879405
Nocturne,JUN,0.921821366
Nocturne,MID,0.033485114
Nocturne,TOP,0.030192644
Nocturne,ADC,0.00938704
Nocturne,SUP,0.005113835
Nunu,JUN,0.859240688
Nunu,TOP,0.047098854
Nunu,SUP,0.042442693
Nunu,MID,0.032055874
Nunu,ADC,0.019161891
Olaf,JUN,0.70062238
Olaf,TOP,0.208941954
Olaf,MID,0.049282357
Olaf,ADC,0.026927474
Olaf,SUP,0.014225835
Orianna,MID,0.970055634
Orianna,ADC,0.018817498
Orianna,TOP,0.007090651
Orianna,SUP,0.002290826
Orianna,JUN,0.001745391
Ornn,TOP,0.98469917
Ornn,MID,0.005057054
Ornn,SUP,0.004538382
Ornn,ADC,0.004149378
Ornn,JUN,0.001556017
Pantheon,JUN,0.494644917
Pantheon,TOP,0.330944142
Pantheon,MID,0.095238095
Pantheon,ADC,0.045806558
Pantheon,SUP,0.033366288
Poppy,TOP,0.834012156
Poppy,JUN,0.061657999
Poppy,SUP,0.044676985
Poppy,MID,0.041355975
Poppy,ADC,0.018296886
Pyke,SUP,0.967874213
Pyke,MID,0.011100373
Pyke,TOP,0.00992504
Pyke,ADC,0.00585055
Pyke,JUN,0.005249824
Quinn,TOP,0.627260307
Quinn,ADC,0.20155911
Quinn,MID,0.110503898
Quinn,JUN,0.041308366
Quinn,SUP,0.01936832
Rakan,SUP,0.99473327
Rakan,MID,0.002877698
Rakan,TOP,0.000923035
Rakan,JUN,0.000760147
Rakan,ADC,0.00070585
Rammus,JUN,0.955527319
Rammus,TOP,0.022871665
Rammus,SUP,0.009911055
Rammus,MID,0.007115629
Rammus,ADC,0.004574333
RekSai,JUN,0.991719623
RekSai,TOP,0.003851338
RekSai,MID,0.002118236
RekSai,SUP,0.001925669
RekSai,ADC,0.000385134
Renekton,TOP,0.947478708
Renekton,MID,0.026159254
Renekton,ADC,0.01264026
Renekton,SUP,0.006962282
Renekton,JUN,0.006759497
Rengar,JUN,0.777979672
Rengar,TOP,0.142808472
Rengar,MID,0.035716314
Rengar,ADC,0.0265743
Rengar,SUP,0.016921242
Riven,TOP,0.956380999
Riven,MID,0.018289229
Riven,JUN,0.013757384
Riven,ADC,0.007768876
Riven,SUP,0.003803512
Rumble,TOP,0.8490109
Rumble,MID,0.089220832
Rumble,ADC,0.030278563
Rumble,JUN,0.01867178
Rumble,SUP,0.012817925
Ryze,MID,0.802868916
Ryze,TOP,0.120354533
Ryze,ADC,0.055201368
Ryze,SUP,0.013333852
Ryze,JUN,0.008241331
Sejuani,JUN,0.993491399
Sejuani,TOP,0.0027894
Sejuani,MID,0.001704634
Sejuani,SUP,0.001239733
Sejuani,ADC,0.000774833
Shaco,JUN,0.997015313
Shaco,TOP,0.00129769
Shaco,MID,0.000908383
Shaco,SUP,0.000519076
Shaco,ADC,0.000259538
Shen,SUP,0.663201789
Shen,TOP,0.236054874
Shen,MID,0.055115731
Shen,ADC,0.028343506
Shen,JUN,0.0172841
Shyvana,JUN,0.953625632
Shyvana,TOP,0.022765599
Shyvana,ADC,0.009274874
Shyvana,MID,0.007588533
Shyvana,SUP,0.006745363
Singed,TOP,0.9131
Singed,MID,0.0481
Singed,ADC,0.0183
Singed,JUN,0.0106
Singed,SUP,0.0099
Sion,TOP,0.942788662
Sion,MID,0.026469362
Sion,SUP,0.017090454
Sion,JUN,0.007294706
Sion,ADC,0.006356815
Sivir,ADC,0.998175848
Sivir,MID,0.000912076
Sivir,TOP,0.000729661
Sivir,SUP,0.000182415
Skarner,JUN,0.999662618
Skarner,MID,0.000337382
Sona,SUP,0.992773019
Sona,MID,0.004148822
Sona,TOP,0.001605996
Sona,ADC,0.000936831
Sona,JUN,0.000535332
Soraka,SUP,0.998686004
Soraka,MID,0.000632665
Soraka,ADC,0.000340666
Soraka,TOP,0.000194666
Soraka,JUN,0.000146
Swain,ADC,0.647108214
Swain,MID,0.205907048
Swain,TOP,0.113350126
Swain,SUP,0.019113943
Swain,JUN,0.01452067
Syndra,MID,0.990544543
Syndra,ADC,0.004670768
Syndra,TOP,0.002734108
Syndra,SUP,0.001480975
Syndra,JUN,0.000569606
TahmKench,SUP,0.892110743
TahmKench,TOP,0.071026452
TahmKench,MID,0.017428858
TahmKench,JUN,0.011567826
TahmKench,ADC,0.007866122
Taliyah,JUN,0.873936527
Taliyah,MID,0.063225898
Taliyah,ADC,0.023652346
Taliyah,TOP,0.023299326
Taliyah,SUP,0.015885904
Talon,MID,0.879362797
Talon,TOP,0.071851319
Talon,ADC,0.029260468
Talon,JUN,0.011560374
Talon,SUP,0.007965042
Taric,SUP,0.845513221
Taric,MID,0.072038309
Taric,TOP,0.042681657
Taric,ADC,0.024567978
Taric,JUN,0.015198834
Teemo,TOP,0.890214797
Teemo,MID,0.03858393
Teemo,SUP,0.029634049
Teemo,ADC,0.026054097
Teemo,JUN,0.015513126
Thresh,SUP,0.996442932
Thresh,MID,0.001894525
Thresh,TOP,0.000695948
Thresh,JUN,0.000657284
Thresh,ADC,0.00030931
Tristana,ADC,0.997371545
Tristana,TOP,0.001187044
Tristana,MID,0.001017467
Tristana,JUN,0.000339156
Tristana,SUP,8.48E-05
Trundle,JUN,0.939543492
Trundle,TOP,0.035986017
Trundle,SUP,0.01343478
Trundle,MID,0.006306121
Trundle,ADC,0.004729591
Tryndamere,TOP,0.906856671
Tryndamere,MID,0.046984717
Tryndamere,JUN,0.020859149
Tryndamere,ADC,0.015799257
Tryndamere,SUP,0.009500207
TwistedFate,MID,0.985413678
TwistedFate,ADC,0.005918221
TwistedFate,TOP,0.005858441
TwistedFate,SUP,0.00191296
TwistedFate,JUN,0.0008967
Twitch,ADC,0.84555885
Twitch,JUN,0.097847106
Twitch,TOP,0.028490396
Twitch,MID,0.022173521
Twitch,SUP,0.005930128
Udyr,JUN,0.973864895
Udyr,TOP,0.016611296
Udyr,MID,0.004872647
Udyr,SUP,0.002657807
Udyr,ADC,0.001993355
Urgot,TOP,0.964512712
Urgot,MID,0.01897952
Urgot,ADC,0.009533898
Urgot,JUN,0.003531073
Urgot,SUP,0.003442797
Varus,ADC,0.977913784
Varus,MID,0.01303885
Varus,TOP,0.00516232
Varus,SUP,0.002820649
Varus,JUN,0.001064396
Vayne,ADC,0.982273839
Vayne,TOP,0.010187449
Vayne,MID,0.004482478
Vayne,JUN,0.001935615
Vayne,SUP,0.001120619
Veigar,MID,0.757684631
Veigar,ADC,0.093812375
Veigar,SUP,0.087025948
Veigar,TOP,0.050299401
Veigar,JUN,0.011177645
Velkoz,SUP,0.446280992
Velkoz,MID,0.352995868
Velkoz,ADC,0.096177686
Velkoz,TOP,0.085123967
Velkoz,JUN,0.019421488
Vi,JUN,1
Viktor,MID,0.989785897
Viktor,TOP,0.006089177
Viktor,ADC,0.002946376
Viktor,SUP,0.000982125
Viktor,JUN,0.000196425
Vladimir,MID,0.551527398
Vladimir,TOP,0.228376719
Vladimir,ADC,0.179484132
Vladimir,SUP,0.024842506
Vladimir,JUN,0.015769246
Volibear,JUN,0.409871245
Volibear,TOP,0.362660944
Volibear,SUP,0.084406295
Volibear,MID,0.08297568
Volibear,ADC,0.060085837
Warwick,JUN,0.956735058
Warwick,TOP,0.024531668
Warwick,MID,0.009589652
Warwick,SUP,0.005352364
Warwick,ADC,0.003791258
Xayah,ADC,0.998418101
Xayah,MID,0.000862854
Xayah,JUN,0.000383491
Xayah,TOP,0.000239682
Xayah,SUP,9.59E-05
Xerath,MID,0.805551296
Xerath,SUP,0.098604509
Xerath,ADC,0.045545162
Xerath,TOP,0.03864438
Xerath,JUN,0.011654654
XinZhao,JUN,0.98683765
XinZhao,TOP,0.00571356
XinZhao,MID,0.002920264
XinZhao,ADC,0.002285424
XinZhao,SUP,0.002243101
Yasuo,MID,0.585110037
Yasuo,ADC,0.188132414
Yasuo,TOP,0.178753534
Yasuo,SUP,0.029140578
Yasuo,JUN,0.018863438
Yorick,TOP,1
Zac,JUN,0.969562648
Zac,SUP,0.014479905
Zac,TOP,0.008274232
Zac,MID,0.004137116
Zac,ADC,0.003546099
Zed,MID,0.995263505
Zed,TOP,0.002398225
Zed,ADC,0.001678758
Zed,SUP,0.000539601
Zed,JUN,0.000119911
Ziggs,MID,0.55712098
Ziggs,ADC,0.305972435
Ziggs,TOP,0.078713629
Ziggs,SUP,0.041041348
Ziggs,JUN,0.017151608
Zilean,SUP,0.694635488
Zilean,MID,0.202095016
Zilean,TOP,0.059252989
Zilean,ADC,0.033118189
Zilean,JUN,0.010898318
Zoe,MID,0.967272539
Zoe,ADC,0.015949459
Zoe,SUP,0.008440785
Zoe,TOP,0.007146186
Zoe,JUN,0.001191031
Zyra,SUP,0.954690071
Zyra,MID,0.024136039
Zyra,ADC,0.01206802
Zyra,TOP,0.007240812
Zyra,JUN,0.001865058
